1,"There are a 1d6+2 kids playing with eachother. They act like animals and run around. ""Dogs"" chasing ""cats"". Its a big chaos. You cant keep track and they run around you and into you. You dont know they try to pickpocket you."
2,Three older ladies approch you. They tell you about a famous innkeeper who disappeared. Red dust was found all over in his house. You look like an adventurer/traveler who must have seen a lot of stuff. They want to know what could have happened. If you come up with a story the ladies spread the rumors and within a day everybody thinks it happened exactly like you said. Even the city guards.
3,There are a few people in the street. Suddenly a women starts to scream. You see that she is pregnant and her water just broke. She is about to receive her child. Nobody of the pedestrians knows what to do.
4,A intimidating man walks up to you and punshes you right in the face. He is very angry and yells at you. He thinks that you are the guy that slept with his wife. Apparently you look exactly like him.
5,There is a guy gambling with dice. He is about to win against 1d4 very drunken dwarfs. Obviously he is playing with loaded dice.
6,"A stray cat starts following you. When you think you've lost it, it appears and rubs against your leg. It follows you for 1d6 days, or until it gets bored."
7,A blind women walks up and asks you by name for some alms.
8,You notice a fence shimmers as you walk by. You realize it is an illusion (Knowledge Arcana: DC10). Behind the illusion is a small exotic garden with tropical plans.
9,"A woman is berating a group of city watchmen who are at her door. She is being evicted for not paying rent and not leaving. She is getting violent, and the land lady is trying to get the house for new renters."
10,"A beggar is seen on the side of the street. When one of the party members goes to give them money, and puts something in there hands. The begger wants to sneak attack with a knife but he is very clumsy and easy to overwhelm."
11,A sudden downpour of perfectly ordinary rain begins.
12,"A collie runs up to the party and begins barking and whimpering, attempting to lead them somewhere."
13,"A group of kids is viciously picking on another, smaller kid."
14,A gnomish tinkerer working on a project at his stall accidentally causes a small explosion.
15,Several angry mockingbirds begin divebombing people as they walk past the tree containing their nest.
16,A man selling potions vitality for cheap. They’re actually just bottles full of cherry water.
17,"A traveler drops a crate he was carrying under his arm, releasing the dozen or so lizards that were inside."
18,"A street performer, a mime, walks in front of the party. He keeps blocking their way and performing mime gimmicks in front of them, invisible wall, trapped in a box, etc. While the party is distracted, a thief is pick pocketing them. The mime and thief are a team."
19,"A sudden gust of wind sweeps through the streets, knocking over a nearby fruit vendor’s stall. If the party stops to help, he will give them free fruit in thanks."
20,"A street artist who sells quick paintings, sketches, and charicatures for tourists is having a loud argument with a customer. The customer is a well-respected gallery owner who is accusing the street artist of ripping off her clients’ work."
21,"While walking past a street vendor, they falsely accuse you of stealing."
22,"A horse gets spooked by a sudden noise and bolts, running wildly through the streets and dragging a light carriage behind it. Inside the carriage are a noble lady and her eight-year-old son, who were on their way to the boy’s music lesson."
23,"A shabby dressed man walks up to a player and starts going through their pockets and bags as if this was the most normal thing in the world. He doesn't say a word approaching them, just treating them like they are an inanimate object. When they pull away he scoffs like the player is the one being rude and walks off ignoring any call outs from the player."
24,"You notice a person who appears to be following you. They aren't, they just happen to be going to all the same places."
25,Two city guards stop you and begin to search all your bags and belongings. Roll a d20. On an 8 or lower they arrest you for no reason.
26,"A hunchbacked old woman sitting by a table on one side of the street offers to read a character's future with her (Tarot-like) cards for 1 SP. Your Player draws three cards. The first has a positive, the second a negative and the third a neutral aspect. She interprets the cards as a hint for their current Quest."
27,A ramshackle shrine made of scrap metal and wood to some minor goddess of luck or good health is destroyed as city guardsmen try to extract a supposed thief hidden inside. A few bystanders shout out “blasphemy’” but nobody moves to stop them.
28,"A mad, half naked wanderer tries to sell you a surprisingly fresh green bell pepper. He seems to sell them the way some people sell oranges. (a perception DC15 check reveals that all of his peppers are identical in shape and dimensions.)"
29,"You happen across a corpse. Down the alley from it is another. One of them seems to have been killed outright whilst the other has sucumbed to wounds sustained in their apparent fight. One of the bodies has an ornate silver tube containing a map of the city. The map is marked with seemingly random locations. (They are drop points for contraband smugglers. Loot them and draw the ire of local gangsters, or reveal them to the local constabulary to make friends with the city guard.)"
30,"A traveling cart carrying various goods hits a bump. A product wrapped in linens falls into a puddle and a beggar tties to hand it back to the cart owner but he cannot catch up. The players can either buy, ask for, or steal the completely random parcel from the beggar. OR attempt to return it to the cart owner."
31,"A man appraising a magic item, in the market/magic district, accidentally releases creature/s of a nearby merchant (pick whatever you feel is appropriate)."
32,"They party come across a beggar (it's actually a member of the royal family, some powerful wizard or the like in disguise)."
33,"Arm wrestle against a child, if you win you get a fabulous prize. But you have to pay to play.Too bad they didn't tell you about the potion of Hill Giant's Strength he's been drinking."
34,"You see the city guards raid a store. Guards preventing people from coming close say that it’s a front for illegal activities. Rumors are that the owners ticked off the wrong person, forgot to pay protection money, and the guards are corrupt."
35,A stray dog runs towards you barking loudly. You step aside and the dog stops about 15 feet past you and continues to bark at an empty space on the street ...
36,"A cart with a caged Slave is broken is heading down the street when the slave breaks out. He starts running, headed to the list obvious underground place or the nearest building, and holes himself up inside"
37,"An elderly, haggard woman covered with cheap, tatty robes approaches your party, carrying several home-made chains of flowers to be worn around the neck. 2cp/each - will barter to 1cp/each. Thieves/pickpockets in the area will no longer attempt to target wearers of these flower chains"
38,"A Blind man is playing a string instrument very well, drawing a crowd."
39,"A man in a ratty suit in front of a local monument asks if you would like to take the guided tour for 5 gold pieces. If you accept, he gestures to the monument saying ""wow look at that"", before dashing away with your money"
40,The party passes by a building that has caught fire. The fire brigade hasn’t shown up yet and there appears to be people trapped inside.
41,"here’s a little old lady selling wooden dolls on the street. If approached, she’ll say that she know what you’re here for, and say that you were destined to have this particular doll she keeps hidden. If purchased and examined, it turns out to be hollow, with a hidden opening, and stuffed full of illegal substances."
42,A small crowd of youths walks by you and one of them bumps into you. Your purse feels lighter.
43,You find a loose cobblestone which has a note underneath it.
44,There's loud music coming from a tavern. Inside there is a group of bards playing to a very drunk crowd of people.
45,"A religious group is praying out in the streets today all throughout the city. They are praying for the soul of a famous, old and wise priest who just died."
46,A homeless man walks up to the party asking them for some coin to buy a meal with. Its easy for someone to smell booze on his breath among other smells coming from him.
47,A man in a black hood follows the party for several blocks until the party spots him then he disappears into the crowd.
48,"You approach a black-clothes wearing person. He open his vest to show you goods and say ""hello stranger, wanna have some cheap goods ?"". You can see daggers, Maps ,trinkets ,vials, … (some are illegal and some are useless)"
49,"A teenager runs in your direction. He is pushing people aside while holding a sausage chain in his hands. He's followed by a bloody butcher with a axe wielding over his head. The butcher screams: ""Stop that son of a bitch!""."
50,"A young lightly dressed woman runs up to you and begs: ""please act like my boyfriend!"". A tough knight comes around the corner with flowers in his hands and says: ""There are you, honey."" The woman accidentally used a love trinket on him. She wanted to give it to his best friend."
51,"A boy is escorted by two city guards. He seems like their prisoner. Suddenly he points at you with his finger and says: ""Wait, thats my father! (or different family member) He can pay!"""
52,You notice a young man standing on the corner. He seems very nervous and is looking in all directions. He wants to make sure nobody is watching him. If player passes a DC15 stealth check the boy drops a small bag (with 50 gold inside) behind a few corn sacks. After that he vanishes into the crowd.
